IsCanceled,LeadTime,Meal,Country,MarketSegment,DistributionChannel,ReservedRoomType,AssignedRoomType,BookingChanges,DepositType,CustomerType,RequiredCarParkingSpaces
0,5,HB       ,ESP,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,1
0,136,BB       ,IRL,Offline TA/TO,TA/TO,A               ,E               ,0,No Deposit     ,Contract,0
0,130,BB       ,NLD,Offline TA/TO,TA/TO,E               ,E               ,0,No Deposit     ,Contract,0
0,0,BB       ,PRT,Direct,Direct,A               ,D               ,0,No Deposit     ,Transient,1
0,0,BB       ,FRA,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,333,HB       ,GBR,Offline TA/TO,TA/TO,A               ,C               ,0,No Deposit     ,Transient,0
0,125,HB       ,DEU,Offline TA/TO,TA/TO,A               ,A               ,1,No Deposit     ,Contract,0
0,134,BB       ,IRL,Offline TA/TO,TA/TO,D               ,D               ,1,No Deposit     ,Contract,0
0,248,HB       ,GBR,Offline TA/TO,TA/TO,A               ,A               ,3,No Deposit     ,Transient,0
0,20,HB       ,ESP,Online TA,TA/TO,A               ,D               ,0,No Deposit     ,Transient,0
0,186,BB       ,GBR,Online TA,TA/TO,D               ,D               ,0,No Deposit     ,Transient,0
1,299,HB       ,DEU,Online TA,TA/TO,E               ,E               ,0,No Deposit     ,Transient,0
0,1,BB       ,RUS,Online TA,TA/TO,A               ,D               ,0,No Deposit     ,Transient,0
0,0,BB       ,ITA,Direct,Direct,A               ,D               ,3,No Deposit     ,Transient,0
0,80,BB       ,IRL,Groups,TA/TO,D               ,D               ,0,No Deposit     ,Transient-Party,0
0,15,HB       ,PRT,Corporate,Direct,D               ,D               ,1,No Deposit     ,Transient-Party,1
1,121,HB       ,GBR,Groups,Direct,D               ,D               ,0,Non Refund     ,Transient,0
1,229,BB       ,PRT,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,4,BB       ,GBR,Complementary,TA/TO,F               ,F               ,0,No Deposit     ,Transient,0
1,103,BB       ,ESP,Online TA,TA/TO,E               ,E               ,0,No Deposit     ,Transient,0
1,320,HB       ,SWE,Online TA,TA/TO,E               ,E               ,0,No Deposit     ,Transient,0
1,23,BB       ,PRT,Direct,Direct,G               ,G               ,0,No Deposit     ,Transient,0
1,90,BB       ,PRT,Online TA,TA/TO,C               ,C               ,0,No Deposit     ,Transient,0
0,0,BB       ,GBR,Groups,Corporate,A               ,D               ,0,No Deposit     ,Transient,0
0,92,BB       ,FRA,Online TA,TA/TO,E               ,F               ,0,No Deposit     ,Transient,1
0,46,HB       ,PRT,Offline TA/TO,TA/TO,D               ,D               ,1,No Deposit     ,Transient,1
0,21,BB       ,PRT,Offline TA/TO,TA/TO,A               ,C               ,0,No Deposit     ,Transient,0
0,36,BB       ,DEU,Corporate,Corporate,A               ,A               ,1,No Deposit     ,Transient-Party,0
0,41,HB       ,ESP,Online TA,TA/TO,C               ,C               ,0,No Deposit     ,Transient,0
1,46,BB       ,PRT,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,169,HB       ,PRT,Online TA,TA/TO,D               ,D               ,2,No Deposit     ,Transient,1
1,0,BB       ,PRT,Direct,Direct,A               ,D               ,0,No Deposit     ,Transient,0
0,2,BB       ,PRT,Online TA,TA/TO,D               ,D               ,0,No Deposit     ,Transient-Party,1
0,226,BB       ,PRT,Online TA,TA/TO,E               ,F               ,1,No Deposit     ,Transient,0
0,58,HB       ,FRA,Online TA,TA/TO,F               ,F               ,1,No Deposit     ,Transient,1
0,225,BB       ,IRL,Offline TA/TO,TA/TO,A               ,A               ,0,No Deposit     ,Contract,0
0,3,BB       ,ESP,Online TA,TA/TO,A               ,D               ,2,No Deposit     ,Transient,0
0,13,BB       ,PRT,Direct,Direct,F               ,F               ,0,No Deposit     ,Transient,0
0,88,HB       ,PRT,Direct,Direct,G               ,G               ,2,No Deposit     ,Transient,0
0,2,HB       ,ESP,Offline TA/TO,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,44,BB       ,LTU,Online TA,TA/TO,E               ,G               ,0,No Deposit     ,Transient,0
0,14,BB       ,IRL,Offline TA/TO,TA/TO,A               ,C               ,0,No Deposit     ,Transient,0
0,38,HB       ,GBR,Offline TA/TO,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,255,HB       ,GBR,Offline TA/TO,TA/TO,D               ,D               ,1,No Deposit     ,Transient,0
1,244,BB       ,IRL,Groups,TA/TO,A               ,A               ,0,No Deposit     ,Transient-Party,0
0,45,BB       ,GBR,Online TA,TA/TO,A               ,A               ,1,No Deposit     ,Transient,0
0,64,HB       ,PRT,Offline TA/TO,TA/TO,A               ,D               ,0,No Deposit     ,Transient,0
0,1,BB       ,PRT,Corporate,Corporate,A               ,A               ,1,No Deposit     ,Transient-Party,0
0,127,HB       ,ITA,Online TA,TA/TO,D               ,D               ,0,No Deposit     ,Transient,0
0,58,BB       ,GBR,Direct,Direct,F               ,F               ,0,No Deposit     ,Transient,0
0,1,BB       ,PRT,Offline TA/TO,TA/TO,A               ,A               ,0,No Deposit     ,Transient-Party,1
1,230,BB       ,GBR,Online TA,TA/TO,H               ,H               ,0,No Deposit     ,Transient,0
0,1,BB       ,PRT,Online TA,Direct,A               ,A               ,0,No Deposit     ,Transient,1
0,12,Undefined,PRT,Groups,Direct,A               ,A               ,1,No Deposit     ,Transient-Party,0
1,162,HB       ,PRT,Groups,TA/TO,A               ,A               ,0,Non Refund     ,Transient,0
0,144,BB       ,GBR,Offline TA/TO,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
1,154,BB       ,PRT,Online TA,TA/TO,G               ,G               ,0,No Deposit     ,Transient,0
0,113,BB       ,FRA,Online TA,TA/TO,E               ,E               ,0,No Deposit     ,Transient,0
0,343,HB       ,BEL,Corporate,Corporate,A               ,C               ,0,No Deposit     ,Transient-Party,0
0,31,BB       ,GBR,Online TA,TA/TO,E               ,E               ,0,No Deposit     ,Transient,0
1,183,FB       ,PRT,Groups,TA/TO,A               ,A               ,0,Non Refund     ,Transient,0
1,37,HB       ,PRT,Offline TA/TO,TA/TO,A               ,D               ,0,No Deposit     ,Transient,0
1,168,BB       ,PRT,Groups,TA/TO,A               ,A               ,0,Non Refund     ,Transient,0
0,0,BB       ,PRT,Corporate,Corporate,A               ,I               ,1,No Deposit     ,Transient-Party,0
0,2,BB       ,PRT,Offline TA/TO,TA/TO,A               ,A               ,1,No Deposit     ,Transient,0
0,36,HB       ,PRT,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,78,BB       ,PRT,Corporate,Corporate,A               ,D               ,0,No Deposit     ,Transient-Party,0
0,327,BB       ,IRL,Groups,TA/TO,A               ,C               ,2,No Deposit     ,Transient-Party,0
1,112,FB       ,PRT,Groups,TA/TO,A               ,A               ,0,No Deposit     ,Transient-Party,0
0,42,BB       ,BRA,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,1
0,203,HB       ,AUT,Groups,TA/TO,A               ,A               ,0,No Deposit     ,Transient-Party,0
0,7,BB       ,NLD,Offline TA/TO,TA/TO,D               ,D               ,0,No Deposit     ,Transient,0
1,208,HB       ,PRT,Groups,Direct,A               ,A               ,0,Non Refund     ,Transient,0
0,16,BB       ,ITA,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient-Party,0
0,84,HB       ,PRT,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,0,BB       ,PRT,Direct,Direct,A               ,A               ,0,No Deposit     ,Transient,0
0,7,BB       ,PRT,Corporate,Corporate,A               ,D               ,0,No Deposit     ,Transient,1
0,236,BB       ,PRT,Groups,TA/TO,A               ,D               ,0,No Deposit     ,Transient-Party,1
1,117,HB       ,PRT,Offline TA/TO,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
1,330,HB       ,GBR,Online TA,TA/TO,A               ,C               ,1,No Deposit     ,Transient,0
0,111,BB       ,PRT,Online TA,TA/TO,A               ,H               ,0,No Deposit     ,Transient,0
0,166,BB       ,CN,Offline TA/TO,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,121,BB       ,PRT,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,0,BB       ,PRT,Offline TA/TO,TA/TO,A               ,D               ,0,No Deposit     ,Transient,0
0,86,BB       ,GBR,Offline TA/TO,TA/TO,D               ,D               ,0,No Deposit     ,Contract,0
1,312,HB       ,PRT,Offline TA/TO,TA/TO,D               ,D               ,0,No Deposit     ,Transient,0
1,75,BB       ,GBR,Online TA,TA/TO,D               ,D               ,0,No Deposit     ,Transient,0
1,275,BB       ,GBR,Online TA,TA/TO,D               ,D               ,0,No Deposit     ,Transient,0
0,23,BB       ,IRL,Online TA,TA/TO,D               ,I               ,0,No Deposit     ,Group,1
1,92,BB       ,PRT,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,10,BB       ,PRT,Corporate,Corporate,A               ,D               ,0,No Deposit     ,Transient,0
1,172,HB       ,PRT,Online TA,TA/TO,D               ,D               ,1,No Deposit     ,Transient,0
0,107,Undefined,CN,Groups,TA/TO,E               ,E               ,1,No Deposit     ,Transient-Party,0
1,116,BB       ,PRT,Offline TA/TO,TA/TO,D               ,D               ,0,No Deposit     ,Transient-Party,0
0,12,BB       ,POL,Online TA,TA/TO,A               ,A               ,2,No Deposit     ,Transient-Party,1
0,112,Undefined,ESP,Groups,TA/TO,A               ,A               ,0,No Deposit     ,Transient-Party,0
1,22,Undefined,PRT,Groups,TA/TO,A               ,D               ,0,No Deposit     ,Transient-Party,0
0,213,HB       ,DEU,Groups,TA/TO,A               ,C               ,0,No Deposit     ,Transient-Party,0
0,201,BB       ,DEU,Online TA,TA/TO,A               ,C               ,0,No Deposit     ,Transient-Party,0
1,85,HB       ,PRT,Groups,TA/TO,A               ,A               ,0,No Deposit     ,Transient-Party,0
1,154,BB       ,ESP,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
1,42,BB       ,PRT,Online TA,TA/TO,D               ,D               ,0,No Deposit     ,Transient,0
0,131,HB       ,FRA,Online TA,TA/TO,E               ,E               ,0,No Deposit     ,Transient,1
0,68,HB       ,ESP,Offline TA/TO,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
1,18,BB       ,PRT,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
1,31,HB       ,PRT,Groups,TA/TO,A               ,A               ,0,No Deposit     ,Transient-Party,0
0,42,BB       ,GBR,Direct,Direct,D               ,D               ,0,No Deposit     ,Group,0
0,210,BB       ,NOR,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,51,BB       ,PRT,Direct,Direct,D               ,D               ,0,No Deposit     ,Transient,0
0,2,BB       ,MAR,Direct,Direct,D               ,D               ,0,No Deposit     ,Transient,1
0,352,BB       ,GBR,Offline TA/TO,TA/TO,D               ,D               ,1,No Deposit     ,Contract,0
0,47,BB       ,ESP,Online TA,TA/TO,G               ,G               ,0,No Deposit     ,Transient,0
0,46,BB       ,PRT,Offline TA/TO,TA/TO,A               ,E               ,1,No Deposit     ,Transient-Party,0
0,89,BB       ,IRL,Online TA,TA/TO,D               ,D               ,0,No Deposit     ,Transient,0
0,40,HB       ,PRT,Groups,Direct,A               ,D               ,2,No Deposit     ,Transient-Party,0
0,39,Undefined,PRT,Groups,Direct,A               ,C               ,1,No Deposit     ,Transient-Party,0
1,44,BB       ,PRT,Online TA,TA/TO,G               ,G               ,0,No Deposit     ,Transient,0
0,31,BB       ,PRT,Online TA,TA/TO,A               ,C               ,0,No Deposit     ,Transient-Party,0
0,24,BB       ,PRT,Offline TA/TO,TA/TO,A               ,A               ,1,No Deposit     ,Transient,0
0,44,HB       ,CHE,Online TA,TA/TO,D               ,D               ,0,No Deposit     ,Transient,0
1,115,HB       ,GBR,Online TA,TA/TO,E               ,E               ,0,No Deposit     ,Transient,0
1,92,Undefined,PRT,Groups,TA/TO,A               ,A               ,0,Non Refund     ,Transient,0
0,3,BB       ,ITA,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,12,BB       ,GBR,Offline TA/TO,TA/TO,A               ,A               ,0,No Deposit     ,Contract,0
0,60,BB       ,BRA,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,2,BB       ,PRT,Direct,Direct,A               ,A               ,0,No Deposit     ,Transient,0
1,80,BB       ,PRT,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
1,88,BB       ,PRT,Online TA,TA/TO,G               ,G               ,0,No Deposit     ,Transient,0
0,6,BB       ,CN,Online TA,TA/TO,A               ,E               ,0,No Deposit     ,Transient,0
0,542,HB       ,GBR,Groups,TA/TO,A               ,D               ,0,No Deposit     ,Transient-Party,0
0,28,HB       ,PRT,Offline TA/TO,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,0,BB       ,PRT,Online TA,TA/TO,A               ,D               ,0,No Deposit     ,Transient,0
0,163,BB       ,CN,Online TA,TA/TO,C               ,C               ,0,No Deposit     ,Transient,1
0,8,BB       ,PRT,Direct,TA/TO,A               ,C               ,0,No Deposit     ,Transient,1
1,306,HB       ,ITA,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,18,HB       ,PRT,Online TA,TA/TO,A               ,C               ,0,No Deposit     ,Transient,0
0,6,BB       ,ESP,Offline TA/TO,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,80,BB       ,CN,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient-Party,0
1,128,HB       ,PRT,Groups,Direct,A               ,A               ,0,No Deposit     ,Transient-Party,0
0,2,BB       ,PRT,Offline TA/TO,TA/TO,A               ,D               ,0,No Deposit     ,Transient-Party,0
1,262,BB       ,PRT,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,45,BB       ,NLD,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
1,18,BB       ,PRT,Corporate,Corporate,A               ,F               ,1,No Deposit     ,Transient,0
0,131,BB       ,RUS,Online TA,TA/TO,G               ,G               ,1,No Deposit     ,Transient,0
1,238,HB       ,PRT,Groups,TA/TO,A               ,A               ,0,Non Refund     ,Transient,0
0,4,BB       ,PRT,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,1
0,101,FB       ,PRT,Direct,Direct,H               ,H               ,5,No Deposit     ,Transient,1
0,61,HB       ,FIN,Online TA,TA/TO,D               ,D               ,0,No Deposit     ,Transient,0
1,164,FB       ,PRT,Direct,Direct,C               ,C               ,1,No Deposit     ,Transient,0
1,40,BB       ,GBR,Online TA,TA/TO,E               ,E               ,0,No Deposit     ,Transient,0
0,0,BB       ,PRT,Online TA,TA/TO,A               ,D               ,1,No Deposit     ,Transient,0
1,364,BB       ,PRT,Groups,Corporate,A               ,A               ,0,No Deposit     ,Transient-Party,0
0,236,BB       ,GBR,Groups,TA/TO,A               ,A               ,0,No Deposit     ,Transient-Party,0
0,16,BB       ,PRT,Online TA,TA/TO,A               ,I               ,2,No Deposit     ,Transient,1
0,0,BB       ,PRT,Direct,Direct,A               ,E               ,0,No Deposit     ,Transient,1
0,167,HB       ,GBR,Offline TA/TO,TA/TO,D               ,D               ,0,No Deposit     ,Contract,0
1,52,BB       ,PRT,Corporate,Corporate,D               ,D               ,0,No Deposit     ,Transient,0
0,28,BB       ,ESP,Direct,Direct,A               ,A               ,1,No Deposit     ,Transient,1
0,194,BB       ,IRL,Online TA,TA/TO,E               ,E               ,1,No Deposit     ,Transient,0
0,1,BB       ,PRT,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,204,BB       ,PRT,Offline TA/TO,TA/TO,D               ,D               ,0,No Deposit     ,Transient,0
0,45,BB       ,PRT,Online TA,TA/TO,A               ,C               ,1,No Deposit     ,Transient,0
0,53,BB       ,IRL,Online TA,TA/TO,A               ,D               ,1,No Deposit     ,Transient,0
0,48,BB       ,ESP,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,1
0,37,BB       ,PRT,Direct,Direct,D               ,D               ,2,No Deposit     ,Transient,0
0,7,BB       ,PRT,Corporate,Corporate,A               ,A               ,0,No Deposit     ,Transient,0
1,35,BB       ,PRT,Online TA,TA/TO,D               ,D               ,0,No Deposit     ,Transient,0
1,236,BB       ,PRT,Groups,TA/TO,A               ,A               ,0,No Deposit     ,Transient-Party,0
1,213,BB       ,CHE,Direct,Direct,E               ,E               ,2,No Deposit     ,Transient,0
1,140,HB       ,PRT,Groups,TA/TO,A               ,A               ,0,Non Refund     ,Transient,0
1,15,Undefined,PRT,Groups,Corporate,A               ,A               ,0,No Deposit     ,Transient-Party,0
0,89,Undefined,ROU,Offline TA/TO,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,1,BB       ,PRT,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,0,BB       ,PRT,Direct,Direct,A               ,A               ,0,No Deposit     ,Transient,0
0,262,BB       ,GBR,Offline TA/TO,TA/TO,D               ,D               ,0,No Deposit     ,Transient,0
0,61,BB       ,ESP,Online TA,TA/TO,D               ,D               ,0,No Deposit     ,Transient,0
0,122,HB       ,ESP,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient-Party,0
0,3,BB       ,PRT,Online TA,TA/TO,A               ,D               ,0,No Deposit     ,Transient,1
0,8,BB       ,PRT,Online TA,TA/TO,D               ,D               ,0,No Deposit     ,Transient,1
0,3,HB       ,GBR,Offline TA/TO,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,51,BB       ,PRT,Groups,TA/TO,A               ,D               ,0,No Deposit     ,Transient-Party,0
0,17,BB       ,ESP,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,31,BB       ,GBR,Offline TA/TO,TA/TO,D               ,D               ,0,No Deposit     ,Transient,0
1,167,HB       ,ROU,Online TA,TA/TO,G               ,G               ,0,No Deposit     ,Transient,0
0,0,BB       ,NLD,Direct,Direct,A               ,A               ,1,No Deposit     ,Transient,0
0,194,BB       ,GBR,Offline TA/TO,TA/TO,D               ,D               ,0,No Deposit     ,Transient,0
0,207,BB       ,ROU,Offline TA/TO,TA/TO,D               ,D               ,1,No Deposit     ,Transient,0
0,171,HB       ,DEU,Groups,TA/TO,A               ,A               ,0,Non Refund     ,Transient-Party,0
1,177,BB       ,PRT,Online TA,TA/TO,A               ,A               ,0,Non Refund     ,Transient,0
0,118,BB       ,FIN,Direct,Direct,D               ,D               ,2,No Deposit     ,Transient,0
0,6,BB       ,PRT,Offline TA/TO,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,136,BB       ,CN,Offline TA/TO,TA/TO,A               ,A               ,0,No Deposit     ,Transient,1
0,4,BB       ,GBR,Online TA,TA/TO,A               ,D               ,0,No Deposit     ,Transient,0
0,0,BB       ,PRT,Online TA,TA/TO,D               ,E               ,0,No Deposit     ,Transient,1
0,17,BB       ,FRA,Direct,Direct,E               ,H               ,0,No Deposit     ,Transient,0
1,238,BB       ,PRT,Groups,TA/TO,D               ,D               ,0,Non Refund     ,Transient,0
0,80,BB       ,RUS,Online TA,TA/TO,E               ,E               ,0,No Deposit     ,Transient,0
0,0,BB       ,FRA,Online TA,TA/TO,A               ,D               ,0,No Deposit     ,Transient,0
0,0,BB       ,PRT,Direct,Direct,D               ,D               ,0,No Deposit     ,Transient,1
0,38,BB       ,PRT,Direct,Direct,A               ,D               ,1,No Deposit     ,Transient,1
0,1,BB       ,AUT,Online TA,TA/TO,D               ,D               ,0,No Deposit     ,Transient,1
0,58,BB       ,GBR,Online TA,TA/TO,A               ,A               ,1,No Deposit     ,Transient,0
0,95,FB       ,PRT,Offline TA/TO,TA/TO,A               ,A               ,0,No Deposit     ,Transient,1
1,147,BB       ,PRT,Offline TA/TO,TA/TO,D               ,D               ,0,No Deposit     ,Transient,0
0,26,BB       ,IRL,Online TA,TA/TO,G               ,G               ,0,No Deposit     ,Transient,1
0,15,Undefined,PRT,Corporate,Corporate,A               ,A               ,1,No Deposit     ,Transient-Party,0
0,166,HB       ,DEU,Online TA,TA/TO,E               ,E               ,1,No Deposit     ,Transient,0
0,2,BB       ,PRT,Corporate,Corporate,A               ,D               ,3,No Deposit     ,Transient,1
1,170,BB       ,CN,Groups,TA/TO,A               ,A               ,0,Non Refund     ,Transient,0
0,130,BB       ,TWN,Online TA,TA/TO,D               ,D               ,0,No Deposit     ,Transient-Party,0
1,196,BB       ,PRT,Online TA,TA/TO,D               ,D               ,0,No Deposit     ,Transient,0
0,100,BB       ,GBR,Online TA,TA/TO,D               ,D               ,0,No Deposit     ,Transient,0
1,67,BB       ,ESP,Online TA,TA/TO,D               ,D               ,0,No Deposit     ,Transient,0
0,235,BB       ,GBR,Offline TA/TO,TA/TO,D               ,D               ,0,No Deposit     ,Contract,0
0,1,BB       ,PRT,Online TA,TA/TO,D               ,D               ,1,No Deposit     ,Transient,0
0,203,HB       ,AUT,Groups,TA/TO,A               ,D               ,1,No Deposit     ,Transient-Party,0
1,44,BB       ,PRT,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,10,BB       ,PRT,Online TA,TA/TO,A               ,C               ,0,No Deposit     ,Transient,0
1,267,BB       ,PRT,Offline TA/TO,TA/TO,A               ,A               ,0,Non Refund     ,Transient,0
0,9,HB       ,ESP,Online TA,TA/TO,E               ,F               ,0,No Deposit     ,Transient,1
1,86,Undefined,PRT,Groups,TA/TO,A               ,A               ,0,Non Refund     ,Transient,0
0,30,BB       ,ESP,Online TA,TA/TO,E               ,E               ,0,No Deposit     ,Transient,0
1,164,BB       ,ESP,Online TA,TA/TO,A               ,A               ,2,No Deposit     ,Transient,0
0,172,BB       ,GBR,Online TA,TA/TO,A               ,D               ,0,No Deposit     ,Transient,0
1,69,BB       ,PRT,Online TA,TA/TO,E               ,E               ,0,No Deposit     ,Transient,0
1,351,HB       ,GBR,Online TA,TA/TO,E               ,E               ,1,No Deposit     ,Transient,0
1,134,HB       ,ESP,Online TA,TA/TO,A               ,A               ,1,No Deposit     ,Transient,0
0,5,BB       ,PRT,Offline TA/TO,TA/TO,A               ,C               ,0,No Deposit     ,Transient-Party,0
0,2,BB       ,IRL,Direct,Direct,G               ,G               ,0,No Deposit     ,Transient,0
1,7,BB       ,PRT,Online TA,TA/TO,E               ,E               ,0,No Deposit     ,Transient-Party,0
0,9,BB       ,GBR,Online TA,TA/TO,E               ,F               ,0,No Deposit     ,Transient-Party,0
0,12,BB       ,PRT,Direct,Direct,A               ,A               ,0,No Deposit     ,Transient,1
0,1,BB       ,FRA,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,173,BB       ,GBR,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient-Party,0
0,6,BB       ,ESP,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,210,HB       ,HUN,Online TA,TA/TO,A               ,A               ,1,No Deposit     ,Transient-Party,0
0,42,BB       ,BEL,Online TA,TA/TO,E               ,E               ,0,No Deposit     ,Transient,1
1,0,BB       ,PRT,Online TA,TA/TO,D               ,D               ,0,No Deposit     ,Transient,0
0,82,HB       ,ESP,Online TA,TA/TO,E               ,E               ,0,No Deposit     ,Transient,0
1,289,BB       ,EST,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
1,0,BB       ,PRT,Groups,Direct,A               ,A               ,1,No Deposit     ,Transient,0
0,335,BB       ,GBR,Groups,Direct,A               ,A               ,1,No Deposit     ,Transient-Party,1
0,21,BB       ,ESP,Offline TA/TO,TA/TO,A               ,A               ,0,No Deposit     ,Transient,1
0,52,BB       ,PRT,Corporate,Corporate,A               ,F               ,0,No Deposit     ,Transient,0
0,51,BB       ,BRA,Online TA,TA/TO,D               ,E               ,0,No Deposit     ,Transient,1
0,39,HB       ,IRL,Offline TA/TO,TA/TO,A               ,A               ,0,No Deposit     ,Contract,0
1,238,BB       ,PRT,Groups,TA/TO,D               ,D               ,0,Non Refund     ,Transient,0
0,12,BB       ,ESP,Online TA,TA/TO,A               ,A               ,2,No Deposit     ,Transient,1
0,47,BB       ,GBR,Offline TA/TO,TA/TO,D               ,D               ,0,No Deposit     ,Transient,0
1,259,BB       ,GBR,Groups,Corporate,A               ,A               ,0,Non Refund     ,Transient,0
0,292,HB       ,DEU,Online TA,TA/TO,D               ,D               ,0,No Deposit     ,Transient,1
0,137,BB       ,IRL,Offline TA/TO,TA/TO,D               ,D               ,0,No Deposit     ,Transient,0
0,13,BB       ,GBR,Online TA,TA/TO,E               ,E               ,0,No Deposit     ,Transient,0
0,85,BB       ,IRL,Online TA,TA/TO,E               ,E               ,0,No Deposit     ,Transient,0
0,0,BB       ,PRT,Direct,Direct,G               ,G               ,1,No Deposit     ,Transient,1
1,64,BB       ,PRT,Corporate,Corporate,D               ,D               ,0,No Deposit     ,Transient,0
0,78,HB       ,GBR,Offline TA/TO,TA/TO,E               ,E               ,0,No Deposit     ,Transient,0
0,195,BB       ,IRL,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,160,HB       ,GBR,Offline TA/TO,TA/TO,D               ,C               ,0,No Deposit     ,Contract,0
0,13,BB       ,DNK,Online TA,TA/TO,A               ,C               ,0,No Deposit     ,Transient-Party,0
0,36,BB       ,ITA,Online TA,TA/TO,A               ,D               ,0,No Deposit     ,Transient-Party,0
0,136,Undefined,ESP,Offline TA/TO,TA/TO,A               ,A               ,0,No Deposit     ,Transient-Party,0
0,230,HB       ,GBR,Offline TA/TO,TA/TO,D               ,D               ,0,No Deposit     ,Contract,0
0,188,BB       ,PRT,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,4,BB       ,PRT,Offline TA/TO,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,1,BB       ,PRT,Offline TA/TO,TA/TO,A               ,D               ,0,No Deposit     ,Transient-Party,0
0,21,BB       ,PRT,Direct,Direct,A               ,A               ,1,No Deposit     ,Transient,0
0,47,HB       ,ESP,Groups,Direct,A               ,A               ,0,No Deposit     ,Transient-Party,0
0,203,BB       ,PRT,Groups,TA/TO,A               ,A               ,2,No Deposit     ,Transient-Party,0
1,74,BB       ,PRT,Corporate,Corporate,A               ,A               ,0,No Deposit     ,Transient,0
0,35,BB       ,FIN,Direct,Direct,F               ,F               ,0,No Deposit     ,Transient,1
0,0,BB       ,ESP,Direct,Direct,E               ,E               ,0,No Deposit     ,Transient,0
0,80,HB       ,BRA,Online TA,TA/TO,A               ,A               ,2,No Deposit     ,Transient,0
0,6,BB       ,GBR,Complementary,TA/TO,F               ,F               ,1,No Deposit     ,Transient,0
0,165,BB       ,GBR,Offline TA/TO,TA/TO,A               ,A               ,0,No Deposit     ,Contract,0
0,204,BB       ,CHE,Online TA,TA/TO,E               ,F               ,0,No Deposit     ,Transient,0
0,4,HB       ,PRT,Groups,TA/TO,A               ,D               ,0,No Deposit     ,Transient-Party,0
0,132,BB       ,ITA,Direct,Direct,C               ,C               ,2,No Deposit     ,Transient,1
0,1,BB       ,NULL,Corporate,Corporate,A               ,A               ,0,No Deposit     ,Transient,0
0,80,SC       ,ESP,Groups,TA/TO,A               ,I               ,0,No Deposit     ,Transient-Party,0
0,320,BB       ,IRL,Online TA,TA/TO,D               ,E               ,0,No Deposit     ,Transient,0
0,93,BB       ,GBR,Online TA,TA/TO,A               ,D               ,0,No Deposit     ,Transient,0
1,209,BB       ,PRT,Offline TA/TO,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
1,5,BB       ,PRT,Offline TA/TO,TA/TO,A               ,C               ,0,No Deposit     ,Transient,0
1,141,BB       ,ESP,Online TA,TA/TO,H               ,H               ,0,No Deposit     ,Transient,0
