IsCanceled,LeadTime,MarketSegment,DistributionChannel,CustomerType,RequiredCarParkingSpaces
1,310,Online TA,TA/TO,Transient,0
1,94,Direct,Direct,Transient,0
1,368,Online TA,TA/TO,Transient,0
1,368,Online TA,TA/TO,Transient,0
1,5,Online TA,TA/TO,Transient,0
1,139,Online TA,TA/TO,Transient,0
1,145,Online TA,TA/TO,Transient,0
1,155,Online TA,TA/TO,Transient,0
1,250,Online TA,TA/TO,Transient,0
1,215,Online TA,TA/TO,Transient,0
1,250,Online TA,TA/TO,Transient,0
1,77,Direct,Direct,Transient,0
1,141,Online TA,TA/TO,Transient,0
1,112,Online TA,TA/TO,Transient,0
1,331,Online TA,TA/TO,Transient-Party,0
1,307,Online TA,TA/TO,Transient,0
1,321,Online TA,TA/TO,Transient,0
1,251,Online TA,TA/TO,Transient,0
1,277,Offline TA/TO,TA/TO,Contract,0
1,250,Offline TA/TO,TA/TO,Transient,0
1,326,Offline TA/TO,TA/TO,Transient,0
1,326,Offline TA/TO,TA/TO,Transient,0
1,28,Online TA,TA/TO,Transient,0
1,11,Online TA,TA/TO,Transient,0
1,28,Online TA,TA/TO,Transient,0
1,50,Online TA,TA/TO,Transient,0
1,147,Online TA,TA/TO,Transient,0
1,131,Offline TA/TO,TA/TO,Transient,0
1,165,Offline TA/TO,TA/TO,Transient,0
1,131,Offline TA/TO,TA/TO,Transient,0
1,115,Offline TA/TO,TA/TO,Transient,0
1,143,Offline TA/TO,TA/TO,Transient,0
1,116,Offline TA/TO,TA/TO,Transient,0
1,26,Online TA,TA/TO,Transient,0
1,135,Online TA,TA/TO,Transient,0
1,45,Online TA,TA/TO,Transient,0
1,217,Online TA,TA/TO,Transient,0
1,129,Offline TA/TO,TA/TO,Transient,0
1,244,Offline TA/TO,TA/TO,Contract,0
1,312,Online TA,TA/TO,Transient,0
1,101,Online TA,TA/TO,Transient,0
1,57,Online TA,TA/TO,Transient,0
1,193,Offline TA/TO,TA/TO,Transient,0
1,263,Offline TA/TO,TA/TO,Contract,0
1,57,Online TA,TA/TO,Transient,0
1,282,Online TA,TA/TO,Transient,0
1,160,Direct,Direct,Transient,0
1,269,Online TA,TA/TO,Transient,0
1,340,Offline TA/TO,TA/TO,Contract,0
1,285,Offline TA/TO,TA/TO,Contract,0
1,39,Online TA,TA/TO,Transient,0
1,108,Online TA,TA/TO,Transient,0
1,298,Online TA,TA/TO,Transient,0
1,101,Online TA,TA/TO,Transient,0
1,114,Offline TA/TO,TA/TO,Transient,0
1,98,Online TA,TA/TO,Transient,0
1,135,Online TA,TA/TO,Transient,0
1,148,Online TA,TA/TO,Transient,0
1,294,Offline TA/TO,TA/TO,Contract,0
1,210,Offline TA/TO,TA/TO,Transient,0
1,132,Online TA,TA/TO,Transient,0
1,237,Offline TA/TO,TA/TO,Contract,0
1,34,Online TA,TA/TO,Transient,0
1,166,Online TA,TA/TO,Transient,0
1,330,Online TA,TA/TO,Transient,0
1,125,Online TA,TA/TO,Transient,0
1,330,Online TA,TA/TO,Transient,0
1,313,Offline TA/TO,TA/TO,Contract,0
1,15,Direct,Direct,Transient,0
1,57,Online TA,TA/TO,Transient,0
1,126,Offline TA/TO,TA/TO,Transient,0
1,87,Online TA,TA/TO,Transient,0
1,321,Online TA,TA/TO,Transient,0
1,258,Online TA,TA/TO,Transient,0
1,78,Online TA,TA/TO,Transient,0
1,326,Online TA,TA/TO,Transient,0
1,285,Online TA,TA/TO,Transient,0
1,289,Online TA,TA/TO,Transient,0
1,213,Online TA,TA/TO,Transient,0
1,320,Online TA,TA/TO,Transient,0
1,153,Online TA,TA/TO,Transient,0
1,94,Online TA,TA/TO,Transient,0
1,261,Online TA,TA/TO,Transient,0
1,43,Corporate,Corporate,Transient,0
1,17,Online TA,TA/TO,Transient,0
1,18,Direct,Direct,Transient,0
1,18,Direct,Direct,Transient,0
1,17,Online TA,TA/TO,Transient,0
1,253,Online TA,TA/TO,Transient,0
1,329,Online TA,TA/TO,Transient,0
1,324,Online TA,TA/TO,Transient,0
1,336,Online TA,TA/TO,Transient,0
1,129,Online TA,TA/TO,Transient,0
1,28,Online TA,TA/TO,Transient,0
1,107,Online TA,TA/TO,Transient,0
1,150,Online TA,TA/TO,Transient,0
1,105,Online TA,TA/TO,Transient,0
1,170,Online TA,TA/TO,Transient,0
1,44,Corporate,Corporate,Transient,0
1,153,Online TA,TA/TO,Transient,0
1,154,Online TA,TA/TO,Transient,0
1,22,Online TA,TA/TO,Transient,0
1,188,Offline TA/TO,TA/TO,Transient,0
1,154,Online TA,TA/TO,Transient,0
1,244,Online TA,TA/TO,Transient,0
1,244,Online TA,TA/TO,Transient,0
1,153,Online TA,TA/TO,Transient,0
1,188,Offline TA/TO,TA/TO,Transient,0
1,332,Online TA,TA/TO,Transient,0
1,279,Online TA,TA/TO,Transient,0
1,240,Offline TA/TO,TA/TO,Contract,0
1,240,Offline TA/TO,TA/TO,Contract,0
1,336,Online TA,TA/TO,Transient,0
1,10,Online TA,TA/TO,Transient,0
1,95,Online TA,TA/TO,Transient,0
1,37,Online TA,TA/TO,Transient,0
1,227,Online TA,TA/TO,Transient,0
1,28,Online TA,TA/TO,Transient,0
1,11,Online TA,TA/TO,Transient,0
1,55,Online TA,TA/TO,Transient,0
1,45,Corporate,Corporate,Transient,0
1,205,Online TA,TA/TO,Transient,0
1,280,Online TA,TA/TO,Transient,0
1,280,Online TA,TA/TO,Transient,0
1,42,Online TA,TA/TO,Transient,0
1,49,Online TA,TA/TO,Transient,0
1,326,Online TA,TA/TO,Transient,0
1,129,Online TA,TA/TO,Transient,0
1,326,Online TA,TA/TO,Transient,0
1,123,Online TA,TA/TO,Transient,0
1,259,Direct,Direct,Transient,0
1,80,Offline TA/TO,TA/TO,Contract,0
1,331,Online TA,TA/TO,Transient,0
1,317,Online TA,TA/TO,Transient,0
1,317,Online TA,TA/TO,Transient,0
1,209,Direct,Direct,Transient,0
1,119,Online TA,TA/TO,Transient,0
1,325,Online TA,TA/TO,Transient,0
1,305,Online TA,TA/TO,Transient,0
1,119,Online TA,TA/TO,Transient,0
1,86,Online TA,TA/TO,Transient,0
1,331,Online TA,TA/TO,Transient,0
1,274,Online TA,TA/TO,Transient,0
1,273,Online TA,TA/TO,Transient,0
1,288,Online TA,TA/TO,Transient,0
1,176,Online TA,TA/TO,Transient,0
1,273,Online TA,TA/TO,Transient,0
1,275,Online TA,TA/TO,Transient,0
1,241,Offline TA/TO,TA/TO,Contract,0
1,253,Online TA,TA/TO,Transient,0
1,296,Online TA,TA/TO,Transient,0
1,243,Online TA,TA/TO,Transient,0
1,278,Online TA,TA/TO,Transient,0
1,5,Direct,Direct,Transient,0
1,27,Direct,Direct,Transient,0
1,27,Direct,Direct,Transient,0
1,103,Direct,Direct,Transient,0
1,109,Online TA,TA/TO,Transient,0
1,128,Offline TA/TO,TA/TO,Transient,0
1,47,Corporate,Corporate,Transient,0
1,171,Online TA,TA/TO,Transient,0
1,253,Online TA,TA/TO,Transient,0
1,238,Online TA,TA/TO,Transient,0
1,113,Online TA,TA/TO,Transient,0
1,47,Corporate,Corporate,Transient,0
1,159,Direct,Direct,Transient-Party,0
1,163,Direct,Direct,Transient,0
1,311,Online TA,TA/TO,Transient,0
1,172,Online TA,TA/TO,Transient,0
1,97,Offline TA/TO,TA/TO,Transient,0
1,342,Online TA,TA/TO,Transient,0
1,47,Corporate,Corporate,Transient,0
1,311,Online TA,TA/TO,Transient,0
1,263,Online TA,TA/TO,Transient,0
1,330,Online TA,TA/TO,Transient,0
1,342,Online TA,TA/TO,Transient,0
1,311,Online TA,TA/TO,Transient,0
1,47,Corporate,Corporate,Transient,0
1,251,Offline TA/TO,TA/TO,Transient,0
1,159,Direct,Direct,Transient-Party,0
1,311,Online TA,TA/TO,Transient,0
1,311,Online TA,TA/TO,Transient,0
1,47,Corporate,Corporate,Transient,0
1,336,Online TA,TA/TO,Transient,0
1,47,Corporate,Corporate,Transient,0
1,47,Corporate,Corporate,Transient,0
1,270,Offline TA/TO,TA/TO,Transient,0
1,98,Online TA,TA/TO,Transient,0
1,50,Online TA,TA/TO,Transient,0
1,227,Online TA,TA/TO,Transient,0
1,50,Online TA,TA/TO,Transient,0
1,312,Online TA,TA/TO,Transient,0
1,169,Online TA,TA/TO,Transient,0
1,48,Corporate,Corporate,Transient,0
1,116,Online TA,TA/TO,Transient,0
1,106,Online TA,TA/TO,Transient,0
1,250,Direct,Direct,Transient,0
1,48,Corporate,Corporate,Transient,0
1,119,Online TA,TA/TO,Transient,0
1,178,Online TA,TA/TO,Transient,0
1,250,Direct,Direct,Transient,0
1,313,Offline TA/TO,TA/TO,Contract,0
1,165,Online TA,TA/TO,Transient,0
1,309,Direct,Direct,Transient,0
1,170,Online TA,TA/TO,Transient,0
1,165,Online TA,TA/TO,Transient,0
1,262,Online TA,TA/TO,Transient,0
1,319,Online TA,TA/TO,Transient,0
1,319,Online TA,TA/TO,Transient,0
1,48,Offline TA/TO,TA/TO,Transient,0
1,296,Direct,Direct,Transient,0
1,274,Online TA,TA/TO,Transient,0
1,127,Online TA,TA/TO,Transient,0
1,336,Online TA,TA/TO,Transient,0
1,48,Corporate,Corporate,Transient,0
1,188,Online TA,TA/TO,Transient,0
1,2,Online TA,TA/TO,Transient,0
1,2,Online TA,TA/TO,Transient,0
1,130,Online TA,TA/TO,Transient,0
1,183,Direct,Direct,Transient,0
1,104,Direct,Direct,Transient,0
1,167,Online TA,TA/TO,Transient,0
1,145,Offline TA/TO,TA/TO,Transient,0
1,179,Online TA,TA/TO,Transient,0
1,309,Online TA,TA/TO,Transient,0
1,310,Online TA,TA/TO,Transient,0
1,218,Online TA,TA/TO,Transient,0
1,310,Online TA,TA/TO,Transient,0
1,122,Online TA,TA/TO,Transient,0
1,118,Online TA,TA/TO,Transient,0
1,0,Direct,Direct,Transient,0
1,267,Online TA,TA/TO,Transient-Party,0
1,139,Online TA,TA/TO,Transient,0
1,160,Online TA,TA/TO,Transient,0
1,50,Corporate,Corporate,Transient,0
1,219,Online TA,TA/TO,Transient,0
1,339,Online TA,TA/TO,Transient,0
1,154,Online TA,TA/TO,Transient,0
1,178,Online TA,TA/TO,Transient,0
1,282,Online TA,TA/TO,Transient,0
1,22,Direct,Direct,Transient,0
1,114,Online TA,TA/TO,Transient,0
1,333,Online TA,TA/TO,Transient,0
1,213,Online TA,TA/TO,Transient,0
1,196,Online TA,TA/TO,Transient,0
1,201,Online TA,TA/TO,Transient,0
1,201,Online TA,TA/TO,Transient,0
1,137,Online TA,TA/TO,Transient,0
1,319,Online TA,TA/TO,Transient,0
1,317,Direct,Direct,Transient,0
1,51,Corporate,Corporate,Transient,0
1,263,Online TA,TA/TO,Transient,0
1,263,Online TA,TA/TO,Transient,0
1,248,Offline TA/TO,TA/TO,Transient-Party,0
1,17,Online TA,TA/TO,Transient,0
1,21,Offline TA/TO,TA/TO,Transient,0
1,17,Online TA,TA/TO,Transient,0
1,106,Online TA,TA/TO,Transient,0
1,17,Online TA,TA/TO,Transient,0
1,0,Online TA,TA/TO,Transient,0
1,60,Online TA,TA/TO,Transient,0
1,151,Online TA,TA/TO,Transient,0
1,109,Online TA,TA/TO,Transient,0
1,248,Offline TA/TO,TA/TO,Transient-Party,0
1,175,Online TA,TA/TO,Transient,0
1,51,Corporate,Corporate,Transient,0
1,51,Corporate,Corporate,Transient,0
1,51,Corporate,Corporate,Transient,0
1,264,Online TA,TA/TO,Transient,0
1,202,Online TA,TA/TO,Transient,0
1,264,Online TA,TA/TO,Transient,0
1,162,Online TA,TA/TO,Transient,0
1,215,Online TA,TA/TO,Transient,0
1,353,Offline TA/TO,TA/TO,Contract,0
1,204,Online TA,TA/TO,Transient,0
1,51,Corporate,Corporate,Transient,0
1,130,Offline TA/TO,TA/TO,Transient-Party,0
1,130,Offline TA/TO,TA/TO,Transient-Party,0
1,303,Online TA,TA/TO,Transient,0
1,59,Online TA,TA/TO,Transient,0
1,303,Online TA,TA/TO,Transient,0
1,130,Offline TA/TO,TA/TO,Transient-Party,0
1,130,Offline TA/TO,TA/TO,Transient-Party,0
1,110,Online TA,TA/TO,Transient,0
1,224,Online TA,TA/TO,Transient,0
1,110,Online TA,TA/TO,Transient,0
1,127,Online TA,TA/TO,Transient,0
1,146,Online TA,TA/TO,Transient,0
1,145,Direct,Direct,Transient,0
1,218,Offline TA/TO,TA/TO,Transient,0
1,305,Online TA,TA/TO,Transient,0
1,198,Online TA,TA/TO,Transient,0
1,197,Online TA,TA/TO,Transient,0
1,305,Online TA,TA/TO,Transient,0
1,145,Direct,Direct,Transient,0
1,146,Online TA,TA/TO,Transient,0
1,305,Online TA,TA/TO,Transient,0
1,164,Online TA,TA/TO,Transient,0
1,259,Online TA,TA/TO,Transient,0
1,59,Online TA,TA/TO,Transient,0
1,334,Online TA,TA/TO,Transient-Party,0
1,155,Online TA,TA/TO,Transient,0
1,117,Direct,Direct,Transient,0
1,209,Online TA,TA/TO,Transient,0
1,334,Online TA,TA/TO,Transient-Party,0
1,243,Online TA,TA/TO,Transient,0
1,303,Online TA,TA/TO,Transient,0
1,184,Online TA,TA/TO,Transient,0
1,52,Corporate,Corporate,Transient,0
1,141,Online TA,TA/TO,Transient,0
1,325,Online TA,TA/TO,Transient,0
1,306,Online TA,TA/TO,Transient,0
1,248,Offline TA/TO,TA/TO,Contract,0
1,183,Online TA,TA/TO,Transient,0
1,110,Online TA,TA/TO,Transient,0
1,109,Direct,Direct,Transient,0
1,171,Online TA,TA/TO,Transient,0
1,104,Online TA,TA/TO,Transient,0
1,146,Offline TA/TO,TA/TO,Transient,0
1,159,Offline TA/TO,TA/TO,Transient,0
1,95,Online TA,TA/TO,Transient,0
1,143,Online TA,TA/TO,Transient,0
1,100,Online TA,TA/TO,Transient,0
1,110,Online TA,TA/TO,Transient,0
1,219,Online TA,TA/TO,Transient,0
1,268,Online TA,TA/TO,Transient,0
1,177,Online TA,TA/TO,Transient,0
1,259,Online TA,TA/TO,Transient,0
1,280,Online TA,TA/TO,Transient,0
1,57,Online TA,TA/TO,Transient,0
1,174,Online TA,TA/TO,Transient,0
1,188,Online TA,TA/TO,Transient,0
1,320,Online TA,TA/TO,Transient,0
1,275,Online TA,TA/TO,Transient,0
1,179,Direct,Direct,Transient,0
1,53,Corporate,Corporate,Transient,0
1,53,Corporate,Corporate,Transient,0
1,133,Online TA,TA/TO,Transient,0
1,102,Online TA,TA/TO,Transient,0
1,159,Online TA,TA/TO,Transient,0
1,103,Online TA,TA/TO,Transient,0
1,144,Offline TA/TO,TA/TO,Transient,0
1,178,Online TA,TA/TO,Transient,0
1,146,Online TA,TA/TO,Transient,0
1,150,Online TA,TA/TO,Transient,0
1,157,Online TA,TA/TO,Transient,0
1,171,Online TA,TA/TO,Transient,0
1,190,Online TA,TA/TO,Transient,0
1,169,Online TA,TA/TO,Transient,0
1,262,Online TA,TA/TO,Transient,0
1,280,Offline TA/TO,TA/TO,Contract,0
1,54,Corporate,Corporate,Transient,0
1,186,Online TA,TA/TO,Transient,0
1,251,Offline TA/TO,TA/TO,Contract,0
1,262,Online TA,TA/TO,Transient,0
1,177,Direct,Direct,Transient-Party,0
1,171,Online TA,TA/TO,Transient,0
1,150,Online TA,TA/TO,Transient,0
1,280,Offline TA/TO,TA/TO,Contract,0
1,300,Online TA,TA/TO,Transient,0
1,47,Online TA,TA/TO,Transient,0
1,317,Online TA,TA/TO,Transient,0
1,347,Online TA,TA/TO,Transient,0
1,268,Online TA,TA/TO,Transient,0
1,277,Online TA,TA/TO,Transient,0
1,347,Online TA,TA/TO,Transient,0
1,269,Online TA,TA/TO,Transient,0
1,6,Complementary,TA/TO,Transient,0
1,320,Online TA,TA/TO,Transient,0
1,153,Online TA,TA/TO,Transient,0
1,237,Online TA,TA/TO,Transient,0
1,324,Direct,Direct,Transient,0
1,315,Online TA,TA/TO,Transient,0
1,131,Online TA,TA/TO,Transient,0
1,55,Corporate,Corporate,Transient,0
1,271,Online TA,TA/TO,Transient,0
1,324,Online TA,TA/TO,Transient,0
1,236,Online TA,TA/TO,Transient,0
1,271,Online TA,TA/TO,Transient,0
1,217,Online TA,TA/TO,Transient,0
1,269,Online TA,TA/TO,Transient,0
1,270,Online TA,TA/TO,Transient,0
1,55,Corporate,Corporate,Transient,0
1,55,Corporate,Corporate,Transient,0
1,55,Corporate,Corporate,Transient,0
1,335,Online TA,TA/TO,Transient,0
1,8,Corporate,Corporate,Transient,0
1,8,Corporate,Corporate,Transient,0
1,8,Corporate,Corporate,Transient,0
1,345,Online TA,TA/TO,Transient,0
1,164,Online TA,TA/TO,Transient,0
1,14,Online TA,TA/TO,Transient,0
1,168,Online TA,TA/TO,Transient,0
1,14,Online TA,TA/TO,Transient,0
1,334,Direct,Direct,Transient-Party,0
1,352,Online TA,TA/TO,Transient,0
1,251,Online TA,TA/TO,Transient,0
1,158,Direct,Direct,Transient,0
1,183,Online TA,TA/TO,Transient,0
1,168,Online TA,TA/TO,Transient,0
1,65,Online TA,TA/TO,Transient,0
1,338,Online TA,TA/TO,Transient,0
1,168,Online TA,TA/TO,Transient,0
1,171,Online TA,TA/TO,Transient,0
1,57,Corporate,Corporate,Transient,0
1,130,Direct,Direct,Transient,0
1,86,Online TA,TA/TO,Transient,0
1,210,Online TA,TA/TO,Transient,0
1,210,Online TA,TA/TO,Transient,0
1,210,Online TA,TA/TO,Transient,0
1,210,Online TA,TA/TO,Transient,0
1,326,Direct,Direct,Transient,0
1,339,Online TA,TA/TO,Transient,0
1,335,Offline TA/TO,TA/TO,Contract,0
1,140,Online TA,TA/TO,Transient,0
1,288,Online TA,TA/TO,Transient,0
1,150,Online TA,TA/TO,Transient,0
1,113,Online TA,TA/TO,Transient,0
1,11,Direct,Direct,Transient,0
1,58,Corporate,Corporate,Transient,0
1,58,Corporate,Corporate,Transient,0
1,179,Online TA,TA/TO,Transient,0
1,184,Online TA,TA/TO,Transient,0
1,58,Corporate,Corporate,Transient,0
1,227,Online TA,TA/TO,Transient,0
1,227,Online TA,TA/TO,Transient,0
1,51,Direct,Direct,Transient,0
1,313,Online TA,TA/TO,Transient,0
1,58,Corporate,Corporate,Transient,0
1,19,Online TA,TA/TO,Transient,0
1,9,Online TA,TA/TO,Transient,0
1,3,Direct,Direct,Transient,0
1,135,Online TA,TA/TO,Transient,0
1,135,Direct,Direct,Transient,0
1,186,Online TA,TA/TO,Transient,0
1,152,Online TA,TA/TO,Transient,0
1,209,Direct,Direct,Transient,0
1,264,Online TA,TA/TO,Transient,0
1,150,Direct,Direct,Transient,0
1,59,Corporate,Corporate,Transient,0
1,109,Online TA,TA/TO,Transient,0
1,162,Offline TA/TO,TA/TO,Transient,0
1,162,Offline TA/TO,TA/TO,Transient,0
1,192,Offline TA/TO,TA/TO,Transient,0
1,154,Online TA,TA/TO,Transient,0
1,8,Direct,Direct,Transient,0
1,256,Online TA,TA/TO,Transient,0
1,154,Online TA,TA/TO,Transient,0
1,61,Online TA,TA/TO,Transient,0
1,258,Online TA,TA/TO,Transient,0
1,33,Direct,Direct,Transient,0
1,151,Online TA,TA/TO,Transient,0
1,349,Direct,Direct,Transient,0
1,157,Online TA,TA/TO,Transient,0
1,216,Online TA,TA/TO,Transient,0
1,60,Corporate,Corporate,Transient,0
1,60,Corporate,Corporate,Transient,0
1,315,Online TA,TA/TO,Transient,0
1,190,Online TA,TA/TO,Transient,0
1,4,Online TA,TA/TO,Transient,0
1,10,Direct,Direct,Transient-Party,0
1,10,Direct,Direct,Transient-Party,0
1,112,Online TA,TA/TO,Transient,0
1,117,Online TA,TA/TO,Transient,0
1,149,Online TA,TA/TO,Transient,0
1,9,Direct,Direct,Transient,0
1,148,Online TA,TA/TO,Transient,0
1,217,Online TA,TA/TO,Transient,0
1,125,Direct,Direct,Transient,0
1,156,Online TA,TA/TO,Transient,0
1,76,Online TA,TA/TO,Transient,0
1,76,Online TA,TA/TO,Transient,0
1,289,Online TA,TA/TO,Transient,0
1,163,Online TA,TA/TO,Transient,0
1,140,Online TA,TA/TO,Transient,0
1,114,Online TA,TA/TO,Transient,0
1,48,Online TA,TA/TO,Transient,0
1,153,Online TA,TA/TO,Transient,0
1,153,Offline TA/TO,TA/TO,Contract,0
1,137,Online TA,TA/TO,Transient,0
1,5,Online TA,TA/TO,Transient,0
1,1,Corporate,Corporate,Transient,0
1,3,Online TA,TA/TO,Transient,0
1,21,Corporate,Corporate,Transient,0
1,95,Online TA,TA/TO,Transient,0
1,47,Online TA,TA/TO,Transient,0
1,47,Online TA,TA/TO,Transient,0
1,47,Online TA,TA/TO,Transient,0
1,48,Online TA,TA/TO,Transient,0
1,47,Online TA,TA/TO,Transient,0
1,73,Online TA,TA/TO,Transient,0
1,151,Offline TA/TO,TA/TO,Transient,0
1,24,Online TA,TA/TO,Transient,0
1,23,Direct,Direct,Transient,0
1,110,Online TA,TA/TO,Transient,0
1,110,Online TA,TA/TO,Transient,0
1,110,Online TA,TA/TO,Transient,0
1,62,Corporate,Corporate,Transient,0
1,151,Online TA,TA/TO,Transient,0
1,62,Corporate,Corporate,Transient,0
1,234,Online TA,TA/TO,Transient,0
1,346,Online TA,TA/TO,Transient,0
1,87,Online TA,TA/TO,Transient,0
1,5,Direct,Direct,Transient-Party,0
1,32,Online TA,TA/TO,Transient,0
1,21,Online TA,TA/TO,Transient,0
1,82,Online TA,TA/TO,Transient,0
1,20,Online TA,TA/TO,Transient,0
1,16,Direct,Direct,Transient,0
1,72,Online TA,TA/TO,Transient,0
1,33,Online TA,TA/TO,Transient,0
1,89,Online TA,TA/TO,Transient,0
1,20,Online TA,TA/TO,Transient,0
1,27,Online TA,TA/TO,Transient,0
1,38,Online TA,TA/TO,Transient,0
1,29,Online TA,TA/TO,Transient,0
1,134,Online TA,TA/TO,Transient,0
1,20,Online TA,TA/TO,Transient,0
1,77,Online TA,TA/TO,Transient,0
1,51,Online TA,TA/TO,Transient,0
1,128,Online TA,TA/TO,Transient,0
1,0,Online TA,TA/TO,Transient,0
1,17,Corporate,Corporate,Transient,0
1,31,Online TA,TA/TO,Transient,0
1,31,Online TA,TA/TO,Transient,0
1,27,Online TA,TA/TO,Transient,0
1,184,Offline TA/TO,TA/TO,Contract,0
1,145,Online TA,TA/TO,Transient,0
1,145,Online TA,TA/TO,Transient,0
1,74,Online TA,TA/TO,Transient,0
1,201,Online TA,TA/TO,Transient,0
1,154,Direct,Direct,Transient,0
1,281,Online TA,TA/TO,Transient,0
1,161,Online TA,TA/TO,Transient,0
1,31,Online TA,TA/TO,Transient,0
1,36,Online TA,TA/TO,Transient,0
1,95,Online TA,TA/TO,Transient,0
1,135,Direct,Direct,Transient,0
1,35,Online TA,TA/TO,Transient,0
1,35,Online TA,TA/TO,Transient,0
1,67,Online TA,TA/TO,Transient,0
1,66,Online TA,TA/TO,Transient,0
1,148,Online TA,TA/TO,Transient,0
1,169,Online TA,TA/TO,Transient,0
1,172,Online TA,TA/TO,Transient,0
1,21,Online TA,TA/TO,Transient,0
1,172,Online TA,TA/TO,Transient,0
1,169,Online TA,TA/TO,Transient,0
1,123,Offline TA/TO,TA/TO,Transient,0
1,70,Online TA,TA/TO,Transient,0
1,242,Online TA,TA/TO,Transient,0
1,212,Online TA,TA/TO,Transient,0
1,283,Direct,Direct,Transient,0
1,0,Direct,Direct,Transient,0
1,0,Online TA,TA/TO,Transient,0
1,24,Online TA,TA/TO,Transient,0
1,59,Direct,Direct,Transient,0
1,0,Online TA,TA/TO,Transient,0
1,0,Online TA,TA/TO,Transient,0
1,183,Online TA,TA/TO,Transient,0
1,55,Direct,Direct,Transient,0
1,55,Direct,Direct,Transient,0
1,253,Online TA,TA/TO,Transient,0
1,122,Online TA,TA/TO,Transient,0
1,126,Online TA,TA/TO,Transient,0
1,109,Online TA,TA/TO,Transient,0
1,125,Online TA,TA/TO,Transient,0
1,158,Direct,Direct,Transient,0
1,125,Online TA,TA/TO,Transient,0
1,126,Online TA,TA/TO,Transient,0
1,109,Online TA,TA/TO,Transient,0
1,123,Online TA,TA/TO,Transient,0
1,126,Online TA,TA/TO,Transient,0
1,126,Online TA,TA/TO,Transient,0
1,125,Online TA,TA/TO,Transient,0
1,167,Online TA,TA/TO,Transient,0
1,17,Online TA,TA/TO,Transient,0
1,113,Online TA,TA/TO,Transient,0
1,354,Online TA,TA/TO,Transient,0
1,185,Online TA,TA/TO,Transient,0
1,192,Online TA,TA/TO,Transient,0
1,51,Complementary,TA/TO,Transient,0
1,137,Online TA,TA/TO,Transient,0
1,25,Online TA,TA/TO,Transient,0
1,213,Offline TA/TO,TA/TO,Transient,0
1,145,Online TA,TA/TO,Transient,0
1,213,Offline TA/TO,TA/TO,Transient,0
1,157,Online TA,TA/TO,Transient,0
1,156,Offline TA/TO,TA/TO,Transient,0
1,333,Online TA,TA/TO,Transient,0
1,128,Online TA,TA/TO,Transient,0
1,175,Direct,Direct,Transient,0
1,180,Direct,Direct,Transient,0
1,188,Online TA,TA/TO,Transient,0
1,181,Online TA,TA/TO,Transient,0
1,188,Direct,Direct,Transient,0
1,170,Online TA,TA/TO,Transient,0
1,188,Online TA,TA/TO,Transient,0
1,340,Online TA,TA/TO,Transient,0
1,340,Online TA,TA/TO,Transient,0
1,158,Online TA,TA/TO,Transient,0
1,184,Online TA,TA/TO,Transient,0
1,25,Online TA,TA/TO,Transient,0
1,21,Online TA,TA/TO,Transient,0
1,103,Online TA,TA/TO,Transient,0
1,190,Online TA,TA/TO,Transient,0
1,27,Direct,Direct,Transient,0
1,103,Online TA,TA/TO,Transient,0
1,118,Online TA,TA/TO,Transient,0
1,209,Online TA,TA/TO,Transient,0
1,64,Online TA,TA/TO,Transient,0
1,252,Online TA,TA/TO,Transient,0
1,182,Online TA,TA/TO,Transient,0
1,323,Online TA,TA/TO,Transient,0
1,2,Online TA,TA/TO,Transient,0
1,140,Online TA,TA/TO,Transient,0
1,42,Online TA,TA/TO,Transient,0
1,190,Direct,Direct,Transient,0
1,322,Online TA,TA/TO,Transient,0
1,133,Online TA,TA/TO,Transient,0
1,133,Offline TA/TO,TA/TO,Transient,0
1,221,Direct,Direct,Transient,0
1,390,Offline TA/TO,TA/TO,Contract,0
1,141,Online TA,TA/TO,Transient,0
1,332,Online TA,TA/TO,Transient,0
1,211,Online TA,TA/TO,Transient,0
1,195,Online TA,TA/TO,Transient,0
1,159,Online TA,TA/TO,Transient,0
1,211,Online TA,TA/TO,Transient,0
1,194,Online TA,TA/TO,Transient,0
1,55,Direct,Direct,Transient,0
1,268,Online TA,TA/TO,Transient,0
1,240,Online TA,TA/TO,Transient,0
1,236,Online TA,TA/TO,Transient,0
1,253,Online TA,TA/TO,Transient,0
1,0,Direct,Direct,Transient,0
1,7,Direct,Direct,Transient,0
1,163,Online TA,TA/TO,Transient,0
1,1,Direct,Direct,Transient,0
1,163,Online TA,TA/TO,Transient,0
1,227,Online TA,TA/TO,Transient,0
1,227,Online TA,TA/TO,Transient,0
1,78,Offline TA/TO,TA/TO,Contract,0
1,165,Online TA,TA/TO,Transient,0
1,39,Offline TA/TO,TA/TO,Contract,0
1,158,Direct,Direct,Transient,0
1,43,Online TA,TA/TO,Transient,0
1,67,Online TA,TA/TO,Transient,0
1,128,Online TA,TA/TO,Transient,0
1,299,Online TA,TA/TO,Transient,0
1,299,Online TA,TA/TO,Transient,0
1,108,Online TA,TA/TO,Transient,0
1,108,Online TA,TA/TO,Transient,0
1,211,Online TA,TA/TO,Transient,0
1,197,Online TA,TA/TO,Transient,0
1,143,Online TA,TA/TO,Transient,0
1,327,Online TA,TA/TO,Transient,0
1,247,Online TA,TA/TO,Transient,0
1,72,Direct,Direct,Transient,0
1,187,Online TA,TA/TO,Transient,0
1,187,Online TA,TA/TO,Transient,0
